Irányítószám;Megye név;Település név
4563;Szabolcs-Szatmár-Bereg;Rohod
9451;Győr-Moson-Sopron;Röjtökmuzsaj
8434;Győr-Moson-Sopron;Románd
2654;Nógrád;Romhány
7743;Baranya;Romonya
9954;Vas;Rönök
6758;Csongrád;Röszke
7914;Baranya;Rózsafa
4971;Szabolcs-Szatmár-Bereg;Rozsály
3033;Heves;Rózsaszentmárton
3733;Borsod-Abaúj-Zemplén;Rudabánya
3742;Borsod-Abaúj-Zemplén;Rudolftelep
9766;Vas;Rum
6786;Csongrád;Ruzsa
3162;Nógrád;Ságújfalu
8654;Somogy;Ságvár
3792;Borsod-Abaúj-Zemplén;Sajóbábony
3793;Borsod-Abaúj-Zemplén;Sajóecseg
3636;Borsod-Abaúj-Zemplén;Sajógalgóc
3576;Borsod-Abaúj-Zemplén;Sajóhidvég
3720;Borsod-Abaúj-Zemplén;Sajóivánka
3773;Borsod-Abaúj-Zemplén;Sajókápolna
3720;Borsod-Abaúj-Zemplén;Sajókaza
3791;Borsod-Abaúj-Zemplén;Sajókeresztúr
3572;Borsod-Abaúj-Zemplén;Sajólád
3773;Borsod-Abaúj-Zemplén;Sajólászlófalva
3656;Borsod-Abaúj-Zemplén;Sajómercse
3652;Borsod-Abaúj-Zemplén;Sajónémeti
3586;Borsod-Abaúj-Zemplén;Sajóörös
3714;Borsod-Abaúj-Zemplén;Sajópálfala
3573;Borsod-Abaúj-Zemplén;Sajópetri
3653;Borsod-Abaúj-Zemplén;Sajópüspöki
3712;Borsod-Abaúj-Zemplén;Sajósenye
3770;Borsod-Abaúj-Zemplén;Sajószentpéter
3599;Borsod-Abaúj-Zemplén;Sajószöged
3712;Borsod-Abaúj-Zemplén;Sajóvámos
3656;Borsod-Abaúj-Zemplén;Sajóvelezd
9632;Vas;Sajtoskál
8256;Veszprém;Salföld
3100;Nógrád;Salgótarján
3102;Nógrád;Salgótarján
3104;Nógrád;Salgótarján
3109;Nógrád;Salgótarján
3121;Nógrád;Salgótarján
3141;Nógrád;Salgótarján
9742;Vas;Salköveskút
8995;Zala;Salomvár
3425;Borsod-Abaúj-Zemplén;Sály
7841;Baranya;Sámod
3074;Nógrád;Sámsonháza
8824;Zala;Sand
6762;Csongrád;Sándorfalva
7479;Somogy;Sántos
4176;Hajdú-Bihar;Sáp
4272;Hajdú-Bihar;Sáránd
3942;Borsod-Abaúj-Zemplén;Sárazsadány
7000;Fejér;Sárbogárd
7003;Fejér;Sárbogárd
7018;Fejér;Sárbogárd
7019;Fejér;Sárbogárd
7014;Fejér;Sáregres
9813;Vas;Sárfimizdó
8944;Zala;Sárhida
2523;Komárom-Esztergom;Sárisáp
5720;Békés;Sarkad
5731;Békés;Sarkadkeresztúr
8051;Fejér;Sárkeresztes
8125;Fejér;Sárkeresztúr
8144;Fejér;Sárkeszi
8391;Zala;Sármellék
7781;Baranya;Sárok
2433;Fejér;Sárosd
3950;Borsod-Abaúj-Zemplén;Sárospatak
3952;Borsod-Abaúj-Zemplén;Sárospatak
7145;Tolna;Sárpilis
4171;Hajdú-Bihar;Sárrétudvari
9434;Győr-Moson-Sopron;Sarród
9435;Győr-Moson-Sopron;Sarród
8126;Fejér;Sárszentágota
7047;Tolna;Sárszentlőrinc
8141;Fejér;Sárszentmihály
8143;Fejér;Sárszentmihály
3386;Heves;Sarud
