Irányítószám;Megye név;Település név
3458;Borsod-Abaúj-Zemplén;Tiszakeszi
4946;Szabolcs-Szatmár-Bereg;Tiszakóród
5471;Jász-Nagykun-Szolnok;Tiszakürt
5472;Jász-Nagykun-Szolnok;Tiszakürt
3929;Borsod-Abaúj-Zemplén;Tiszaladány
4447;Szabolcs-Szatmár-Bereg;Tiszalök
4450;Szabolcs-Szatmár-Bereg;Tiszalök
3565;Borsod-Abaúj-Zemplén;Tiszalúc
4645;Szabolcs-Szatmár-Bereg;Tiszamogyorós
4463;Szabolcs-Szatmár-Bereg;Tiszanagyfalu
3385;Heves;Tiszanána
5362;Jász-Nagykun-Szolnok;Tiszaörs
3587;Borsod-Abaúj-Zemplén;Tiszapalkonya
5211;Jász-Nagykun-Szolnok;Tiszapüspöki
4503;Szabolcs-Szatmár-Bereg;Tiszarád
5234;Jász-Nagykun-Szolnok;Tiszaroff
5474;Jász-Nagykun-Szolnok;Tiszasas
5061;Jász-Nagykun-Szolnok;Tiszasüly
4831;Szabolcs-Szatmár-Bereg;Tiszaszalka
5322;Jász-Nagykun-Szolnok;Tiszaszentimre
5323;Jász-Nagykun-Szolnok;Tiszaszentimre
4628;Szabolcs-Szatmár-Bereg;Tiszaszentmárton
6756;Csongrád;Tiszasziget
5244;Jász-Nagykun-Szolnok;Tiszaszőlős
3928;Borsod-Abaúj-Zemplén;Tiszatardos
3589;Borsod-Abaúj-Zemplén;Tiszatarján
4486;Szabolcs-Szatmár-Bereg;Tiszatelek
4487;Szabolcs-Szatmár-Bereg;Tiszatelek
5082;Jász-Nagykun-Szolnok;Tiszatenyő
6064;Bács-Kiskun;Tiszaug
3580;Borsod-Abaúj-Zemplén;Tiszaújváros
3464;Borsod-Abaúj-Zemplén;Tiszavalk
5092;Jász-Nagykun-Szolnok;Tiszavárkony
5095;Jász-Nagykun-Szolnok;Tiszavárkony
4440;Szabolcs-Szatmár-Bereg;Tiszavasvári
4832;Szabolcs-Szatmár-Bereg;Tiszavid
4969;Szabolcs-Szatmár-Bereg;Tisztaberek
4921;Szabolcs-Szatmár-Bereg;Tivadar
2252;Pest;Tóalmás
3354;Heves;Tófalu
8946;Zala;Tófej
7348;Baranya;Tófű
2073;Pest;Tök
3910;Borsod-Abaúj-Zemplén;Tokaj
2531;Komárom-Esztergom;Tokod
2532;Komárom-Esztergom;Tokodaltáró
2316;Pest;Tököl
9561;Vas;Tokorcs
3934;Borsod-Abaúj-Zemplén;Tolcsva
4117;Hajdú-Bihar;Told
2657;Nógrád;Tolmács
7130;Tolna;Tolna
7131;Tolna;Tolna
7083;Tolna;Tolnanémedi
9086;Győr-Moson-Sopron;Töltéstava
5324;Jász-Nagykun-Szolnok;Tomajmonostora
3787;Borsod-Abaúj-Zemplén;Tomor
9738;Vas;Tömörd
6646;Csongrád;Tömörkény
6422;Bács-Kiskun;Tompa
9662;Vas;Tompaládony
2463;Fejér;Tordas
8876;Zala;Tormafölde
7383;Baranya;Tormás
9736;Vas;Tormásliget
3765;Borsod-Abaúj-Zemplén;Tornabarakony
3761;Borsod-Abaúj-Zemplén;Tornakápolna
3767;Borsod-Abaúj-Zemplén;Tornanádaska
3765;Borsod-Abaúj-Zemplén;Tornaszentandrás
3769;Borsod-Abaúj-Zemplén;Tornaszentjakab
8877;Zala;Tornyiszentmiklós
3877;Borsod-Abaúj-Zemplén;Tornyosnémeti
4642;Szabolcs-Szatmár-Bereg;Tornyospálca
2045;Pest;Törökbálint
7285;Somogy;Törökkoppány
5200;Jász-Nagykun-Szolnok;Törökszentmiklós
5212;Jász-Nagykun-Szolnok;Törökszentmiklós
9791;Vas;Torony
2747;Pest;Törtel
8660;Somogy;Torvaj
5091;Jász-Nagykun-Szolnok;Tószeg
5940;Békés;Tótkomlós
7981;Baranya;Tótszentgyörgy
8865;Zala;Tótszentmárton
8864;Zala;Tótszerdahely
7755;Baranya;Töttös
7918;Somogy;Tótújfalu
8246;Veszprém;Tótvázsony
3724;Borsod-Abaúj-Zemplén;Trizs
4731;Szabolcs-Szatmár-Bereg;Tunyogmatolcs
2194;Pest;Tura
4944;Szabolcs-Szatmár-Bereg;Túristvándi
8796;Zala;Türje
5420;Jász-Nagykun-Szolnok;Túrkeve
7811;Baranya;Túrony
4968;Szabolcs-Szatmár-Bereg;Túrricse
8477;Veszprém;Tüskevár
4623;Szabolcs-Szatmár-Bereg;Tuzsér
4762;Szabolcs-Szatmár-Bereg;Tyukod
7718;Baranya;Udvar
7066;Tolna;Udvari
8564;Veszprém;Ugod
2066;Fejér;Újbarok
3716;Borsod-Abaúj-Zemplén;Újcsanálos
4491;Szabolcs-Szatmár-Bereg;Újdombrád
4244;Szabolcs-Szatmár-Bereg;Újfehértó
2367;Pest;Újhartyán
4146;Hajdú-Bihar;Újiráz
7095;Tolna;Újireg
4635;Szabolcs-Szatmár-Bereg;Újkenéz
9472;Győr-Moson-Sopron;Újkér
5661;Békés;Újkígyós
2724;Pest;Újlengyel
4288;Hajdú-Bihar;Újléta
3387;Heves;Újlőrincfalva
7766;Baranya;Újpetre
9244;Győr-Moson-Sopron;Újrónafő
6320;Bács-Kiskun;Újsolt
5727;Békés;Újszalonta
5052;Jász-Nagykun-Szolnok;Újszász
6754;Csongrád;Újszentiván
4065;Hajdú-Bihar;Újszentmargita
2768;Pest;Újszilvás
6337;Bács-Kiskun;Újtelek
4096;Hajdú-Bihar;Újtikos
8778;Zala;Újudvar
7436;Somogy;Újvárfalva
8347;Veszprém;Ukk
6794;Csongrád;Üllés
2225;Pest;Üllő
9464;Győr-Moson-Sopron;Und
2528;Komárom-Esztergom;Úny
3622;Borsod-Abaúj-Zemplén;Uppony
4763;Szabolcs-Szatmár-Bereg;Ura
9651;Vas;Uraiújfalu
8142;Fejér;Úrhida
2244;Pest;Úri
8409;Veszprém;Úrkút
2096;Pest;Üröm
4952;Szabolcs-Szatmár-Bereg;Uszka
6332;Bács-Kiskun;Uszód
8321;Veszprém;Uzsa
2600;Pest;Vác
2167;Pest;Vácduka
2184;Pest;Vácegres
2164;Pest;Váchartyán
2185;Pest;Váckisújfalu
2163;Pest;Vácrátót
2115;Pest;Vácszentlászló
3636;Borsod-Abaúj-Zemplén;Vadna
9346;Győr-Moson-Sopron;Vadosfa
9327;Győr-Moson-Sopron;Vág
3992;Borsod-Abaúj-Zemplén;Vágáshuta
4562;Szabolcs-Szatmár-Bereg;Vaja
3961;Borsod-Abaúj-Zemplén;Vajdácska
7838;Baranya;Vajszló
7041;Fejér;Vajta
2473;Fejér;Vál
2114;Pest;Valkó
8885;Zala;Valkonya
4351;Szabolcs-Szatmár-Bereg;Vállaj
8316;Zala;Vállus
4936;Szabolcs-Szatmár-Bereg;Vámosatya
9665;Vas;Vámoscsalád
3291;Heves;Vámosgyörk
2635;Pest;Vámosmikola
4966;Szabolcs-Szatmár-Bereg;Vámosoroszi
4287;Hajdú-Bihar;Vámospércs
9061;Győr-Moson-Sopron;Vámosszabadi
3941;Borsod-Abaúj-Zemplén;Vámosújfalu
4119;Hajdú-Bihar;Váncsod
2688;Nógrád;Vanyarc
8552;Veszprém;Vanyola
7973;Baranya;Várad
7354;Tolna;Váralja
8723;Somogy;Varászló
3254;Heves;Váraszó
9243;Győr-Moson-Sopron;Várbalog
3778;Borsod-Abaúj-Zemplén;Varbó
3756;Borsod-Abaúj-Zemplén;Varbóc
7442;Somogy;Várda
7146;Tolna;Várdomb
8891;Zala;Várfölde
7370;Baranya;Varga
2824;Komárom-Esztergom;Várgesztes
8523;Veszprém;Várkesző
7214;Tolna;Várong
6033;Bács-Kiskun;Városföld
8445;Veszprém;Városlőd
8100;Veszprém;Várpalota
8103;Veszprém;Várpalota
8104;Veszprém;Várpalota
7067;Tolna;Varsád
3178;Nógrád;Varsány
8316;Zala;Várvölgy
2211;Pest;Vasad
9921;Vas;Vasalja
7926;Baranya;Vásárosbéc
7362;Baranya;Vásárosdombó
9343;Győr-Moson-Sopron;Vásárosfalu
9552;Vas;Vásárosmiske
4800;Szabolcs-Szatmár-Bereg;Vásárosnamény
4803;Szabolcs-Szatmár-Bereg;Vásárosnamény
4804;Szabolcs-Szatmár-Bereg;Vásárosnamény
9744;Vas;Vasasszonyfa
8914;Zala;Vasboldogasszony
9661;Vas;Vasegerszeg
9674;Vas;Vashosszúfalu
9795;Vas;Vaskeresztes
6521;Bács-Kiskun;Vaskút
4502;Szabolcs-Szatmár-Bereg;Vasmegyer
8998;Zala;Vaspör
9741;Vas;Vassurány
9763;Vas;Vasszécseny
9953;Vas;Vasszentmihály
9747;Vas;Vasszilvágy
9800;Vas;Vasvár
8542;Veszprém;Vaszar
8245;Veszprém;Vászoly
9748;Vas;Vát
3431;Borsod-Abaúj-Zemplén;Vatta
7370;Baranya;Vázsnok
3265;Heves;Vécs
2220;Pest;Vecsés
5811;Békés;Végegyháza
7838;Baranya;Vejti
7333;Baranya;Vékény
4143;Hajdú-Bihar;Vekerd
9726;Vas;Velem
9946;Vas;Velemér
2481;Fejér;Velence
7951;Baranya;Velény
7726;Baranya;Véménd
9062;Győr-Moson-Sopron;Vének
9751;Vas;Vép
2477;Fejér;Vereb
2112;Pest;Veresegyház
2621;Pest;Verőce
3351;Heves;Verpelét
2174;Pest;Verseg
7752;Baranya;Versend
8089;Fejér;Vértesacsa
8085;Fejér;Vértesboglár
2859;Komárom-Esztergom;Vérteskethely
2823;Komárom-Esztergom;Vértessomló
2837;Komárom-Esztergom;Vértesszőlős
2833;Komárom-Esztergom;Vértestolna
8721;Somogy;Vése
9352;Győr-Moson-Sopron;Veszkény
8200;Veszprém;Veszprém
8411;Veszprém;Veszprém
8412;Veszprém;Veszprém
8248;Veszprém;Veszprémfajsz
8475;Veszprém;Veszprémgalsa
8438;Győr-Moson-Sopron;Veszprémvarsány
5530;Békés;Vésztő
5093;Jász-Nagykun-Szolnok;Vezseny
8484;Veszprém;Vid
8294;Veszprém;Vigántpetend
7773;Baranya;Villány
7772;Baranya;Villánykövesd
3891;Borsod-Abaúj-Zemplén;Vilmány
8194;Veszprém;Vilonya
3991;Borsod-Abaúj-Zemplén;Vilyvitány
9535;Veszprém;Vinár
8354;Zala;Vindornyafok
8353;Zala;Vindornyalak
8355;Zala;Vindornyaszőlős
2025;Pest;Visegrád
2026;Pest;Visegrád
7533;Somogy;Visnye
3271;Heves;Visonta
3272;Heves;Visonta
3956;Borsod-Abaúj-Zemplén;Viss
8681;Somogy;Visz
9932;Vas;Viszák
3825;Borsod-Abaúj-Zemplén;Viszló
3293;Heves;Visznek
9371;Győr-Moson-Sopron;Vitnyéd
3128;Nógrád;Vizslás
3888;Borsod-Abaúj-Zemplén;Vizsoly
7588;Somogy;Vízvár
8931;Zala;Vöckönd
7768;Baranya;Vokány
9462;Győr-Moson-Sopron;Völcsej
9516;Vas;Vönöck
8314;Zala;Vonyarcvashegy
8291;Veszprém;Vöröstó
8711;Somogy;Vörs
3124;Nógrád;Zabar
7976;Baranya;Zádor
3726;Borsod-Abaúj-Zemplén;Zádorfalva
5051;Jász-Nagykun-Szolnok;Zagyvarékas
3031;Heves;Zagyvaszántó
4625;Szabolcs-Szatmár-Bereg;Záhony
8868;Zala;Zajk
4974;Szabolcs-Szatmár-Bereg;Zajta
8852;Somogy;Zákány
8853;Somogy;Zákányfalu
6787;Csongrád;Zákányszék
8660;Somogy;Zala
8741;Zala;Zalaapáti
8971;Zala;Zalabaksa
8798;Zala;Zalabér
8992;Zala;Zalaboldogfa
8782;Zala;Zalacsány
8996;Zala;Zalacséb
8900;Zala;Zalaegerszeg
8344;Veszprém;Zalaerdőd
8349;Veszprém;Zalagyömörő
8308;Veszprém;Zalahaláp
8997;Zala;Zalaháshágy
8761;Zala;Zalaigrice
8932;Zala;Zalaistvánd
8749;Zala;Zalakaros
8751;Zala;Zalakomár
8752;Zala;Zalakomár
8354;Zala;Zalaköveskút
8999;Zala;Zalalövő
8348;Veszprém;Zalameggyes
8747;Zala;Zalamerenye
8756;Zala;Zalasárszeg
8743;Zala;Zalaszabar
8353;Zala;Zalaszántó
8476;Veszprém;Zalaszegvár
8772;Zala;Zalaszentbalázs
8785;Zala;Zalaszentgrót
8789;Zala;Zalaszentgrót
8790;Zala;Zalaszentgrót
8793;Zala;Zalaszentgrót
8795;Zala;Zalaszentgrót
8994;Zala;Zalaszentgyörgy
8921;Zala;Zalaszentiván
8827;Zala;Zalaszentjakab
8788;Zala;Zalaszentlászló
8921;Zala;Zalaszentlőrinc
8764;Zala;Zalaszentmárton
8936;Zala;Zalaszentmihály
8969;Zala;Zalaszombatfa
7839;Baranya;Zaláta
8947;Zala;Zalatárnok
8822;Zala;Zalaújlak
8392;Zala;Zalavár
8792;Zala;Zalavég
3957;Borsod-Abaúj-Zemplén;Zalkod
8621;Somogy;Zamárdi
8081;Fejér;Zámoly
8251;Veszprém;Zánka
3296;Heves;Zaránk
7182;Tolna;Závod
8957;Zala;Zebecke
2627;Pest;Zebegény
3977;Borsod-Abaúj-Zemplén;Zemplénagárd
7720;Baranya;Zengővárkony
8112;Fejér;Zichyújfalu
8672;Somogy;Zics
3794;Borsod-Abaúj-Zemplén;Ziliz
7471;Somogy;Zimány
8420;Veszprém;Zirc
7671;Baranya;Zók
7173;Tolna;Zomba
5537;Békés;Zsadány
4142;Hajdú-Bihar;Zsáka
2072;Pest;Zsámbék
2116;Pest;Zsámbok
6411;Bács-Kiskun;Zsana
4961;Szabolcs-Szatmár-Bereg;Zsarolyán
9346;Győr-Moson-Sopron;Zsebeháza
9635;Vas;Zsédeny
7477;Somogy;Zselickisfalud
7400;Somogy;Zselickislak
7474;Somogy;Zselicszentpál
9766;Vas;Zsennye
9476;Győr-Moson-Sopron;Zsira
6792;Csongrád;Zsombó
3897;Borsod-Abaúj-Zemplén;Zsujta
4627;Szabolcs-Szatmár-Bereg;Zsurk
3723;Borsod-Abaúj-Zemplén;Zubogy
