Irányítószám;Megye név;Település név
9634;Vas;Iklanberény
8958;Zala;Iklódbördőce
9141;Győr-Moson-Sopron;Ikrény
2675;Nógrád;Iliny
4566;Szabolcs-Szatmár-Bereg;Ilk
7775;Baranya;Illocska
3724;Borsod-Abaúj-Zemplén;Imola
6238;Bács-Kiskun;Imrehegy
3851;Borsod-Abaúj-Zemplén;Ináncs
2365;Pest;Inárcs
8724;Somogy;Inke
7847;Baranya;Ipacsfa
2631;Pest;Ipolydamásd
3138;Nógrád;Ipolytarnóc
2633;Pest;Ipolytölgyes
2669;Nógrád;Ipolyvece
7095;Tolna;Iregszemcse
3786;Borsod-Abaúj-Zemplén;Irota
2117;Pest;Isaszeg
9941;Vas;Ispánk
3253;Heves;Istenmezeje
7987;Somogy;Istvándi
8043;Fejér;Iszkaszentgyörgy
8493;Veszprém;Iszkáz
8045;Fejér;Isztimér
3248;Heves;Ivád
9374;Győr-Moson-Sopron;Iván
7772;Baranya;Ivánbattyán
9931;Vas;Ivánc
2454;Fejér;Iváncsa
7781;Baranya;Ivándárda
7353;Tolna;Izmény
6070;Bács-Kiskun;Izsák
3741;Borsod-Abaúj-Zemplén;Izsófalva
7362;Tolna;Jágónak
9798;Vas;Ják
6078;Bács-Kiskun;Jakabszállás
9643;Vas;Jákfa
3721;Borsod-Abaúj-Zemplén;Jákfalva
7525;Somogy;Jákó
4841;Szabolcs-Szatmár-Bereg;Jánd
4741;Szabolcs-Szatmár-Bereg;Jánkmajtis
6440;Bács-Kiskun;Jánoshalma
9545;Vas;Jánosháza
5143;Jász-Nagykun-Szolnok;Jánoshida
9241;Győr-Moson-Sopron;Jánossomorja
9242;Győr-Moson-Sopron;Jánossomorja
3664;Borsod-Abaúj-Zemplén;Járdánháza
4337;Szabolcs-Szatmár-Bereg;Jármi
8424;Veszprém;Jásd
5124;Jász-Nagykun-Szolnok;Jászágó
5054;Jász-Nagykun-Szolnok;Jászalsószentgyörgy
5130;Jász-Nagykun-Szolnok;Jászapáti
5123;Jász-Nagykun-Szolnok;Jászárokszállás
5100;Jász-Nagykun-Szolnok;Jászberény
5152;Jász-Nagykun-Szolnok;Jászberény
5144;Jász-Nagykun-Szolnok;Jászboldogháza
5122;Jász-Nagykun-Szolnok;Jászdózsa
5111;Jász-Nagykun-Szolnok;Jászfelsőszentgyörgy
5126;Jász-Nagykun-Szolnok;Jászfényszaru
5135;Jász-Nagykun-Szolnok;Jászivány
5121;Jász-Nagykun-Szolnok;Jászjákóhalma
2746;Pest;Jászkarajenő
5137;Jász-Nagykun-Szolnok;Jászkisér
5055;Jász-Nagykun-Szolnok;Jászladány
5136;Jász-Nagykun-Szolnok;Jászszentandrás
6133;Bács-Kiskun;Jászszentlászló
5141;Jász-Nagykun-Szolnok;Jásztelek
4611;Szabolcs-Szatmár-Bereg;Jéke
8146;Fejér;Jenő
9323;Győr-Moson-Sopron;Jobaháza
3063;Nógrád;Jobbágyi
3758;Borsod-Abaúj-Zemplén;Jósvafő
7431;Somogy;Juta
4183;Hajdú-Bihar;Kaba
8773;Zala;Kacorlak
3424;Borsod-Abaúj-Zemplén;Kács
7940;Baranya;Kacsóta
7530;Somogy;Kadarkút
9123;Győr-Moson-Sopron;Kajárpéc
2472;Fejér;Kajászó
7051;Tolna;Kajdacs
7122;Tolna;Kakasd
7958;Baranya;Kákics
2366;Pest;Kakucs
3350;Heves;Kál
7194;Tolna;Kalaznó
9673;Vas;Káld
2175;Nógrád;Kálló
8785;Zala;Kallósd
4324;Szabolcs-Szatmár-Bereg;Kállósemjén
7538;Somogy;Kálmáncsa
4434;Szabolcs-Szatmár-Bereg;Kálmánháza
8988;Zala;Kálócfa
6300;Bács-Kiskun;Kalocsa
8124;Fejér;Káloz
9841;Vas;Kám
8469;Veszprém;Kamond
5673;Békés;Kamut
3735;Borsod-Abaúj-Zemplén;Kánó
4335;Szabolcs-Szatmár-Bereg;Kántorjánosi
3821;Borsod-Abaúj-Zemplén;Kány
8667;Somogy;Kánya
8956;Zala;Kányavár
8294;Veszprém;Kapolcs
3355;Heves;Kápolna
2475;Fejér;Kápolnásnyék
8671;Somogy;Kapoly
7523;Somogy;Kaposfő
7473;Somogy;Kaposgyarmat
7261;Somogy;Kaposhomok
7258;Somogy;Kaposkeresztúr
7521;Somogy;Kaposmérő
7251;Tolna;Kapospula
7361;Tolna;Kaposszekcső
7476;Somogy;Kaposszerdahely
7522;Somogy;Kaposújlak
7400;Somogy;Kaposvár
8471;Veszprém;Káptalanfa
8283;Veszprém;Káptalantóti
9330;Győr-Moson-Sopron;Kapuvár
9339;Győr-Moson-Sopron;Kapuvár
7285;Somogy;Kára
3281;Heves;Karácsond
8676;Somogy;Karád
9547;Vas;Karakó
8491;Veszprém;Karakószörcsök
3181;Nógrád;Karancsalja
3137;Nógrád;Karancsberény
3183;Nógrád;Karancskeszi
3182;Nógrád;Karancslapujtő
3163;Nógrád;Karancsság
7333;Baranya;Kárász
5300;Jász-Nagykun-Szolnok;Karcag
3963;Borsod-Abaúj-Zemplén;Karcsa
5552;Békés;Kardos
5945;Békés;Kardoskút
8354;Zala;Karmacs
9182;Győr-Moson-Sopron;Károlyháza
3962;Borsod-Abaúj-Zemplén;Karos
2173;Pest;Kartal
7827;Baranya;Kásád
6211;Bács-Kiskun;Kaskantyú
7977;Somogy;Kastélyosdombó
5948;Békés;Kaszaper
7564;Somogy;Kaszó
7914;Baranya;Katádfa
9915;Vas;Katafa
7661;Baranya;Kátoly
6455;Bács-Kiskun;Katymár
2215;Pest;Káva
8994;Zala;Kávás
3127;Nógrád;Kazár
3147;Nógrád;Kazár
3700;Borsod-Abaúj-Zemplén;Kazincbarcika
3831;Borsod-Abaúj-Zemplén;Kázsmárk
7274;Somogy;Kazsok
6237;Bács-Kiskun;Kecel
2852;Komárom-Esztergom;Kecskéd
6000;Bács-Kiskun;Kecskemét
6008;Bács-Kiskun;Kecskemét
6044;Bács-Kiskun;Kecskemét
8784;Zala;Kehidakustány
4515;Szabolcs-Szatmár-Bereg;Kék
4494;Szabolcs-Szatmár-Bereg;Kékcse
3899;Borsod-Abaúj-Zemplén;Kéked
7661;Baranya;Kékesd
8254;Veszprém;Kékkút
6423;Bács-Kiskun;Kelebia
9549;Vas;Keléd
3728;Borsod-Abaúj-Zemplén;Kelemér
6444;Bács-Kiskun;Kéleshalom
8714;Somogy;Kelevíz
4501;Szabolcs-Szatmár-Bereg;Kemecse
2638;Pest;Kemence
8931;Zala;Kemendollár
8516;Veszprém;Kemeneshőgyész
9553;Vas;Kemeneskápolna
9522;Vas;Kemenesmagasi
9511;Vas;Kemenesmihályfa
9544;Vas;Kemenespálfa
9517;Vas;Kemenessömjén
9521;Vas;Kemenesszentmárton
8518;Veszprém;Kemenesszentpéter
8995;Zala;Keménfa
7843;Baranya;Kémes
9923;Vas;Kemestaródfa
7839;Baranya;Kemse
5331;Jász-Nagykun-Szolnok;Kenderes
5349;Jász-Nagykun-Szolnok;Kenderes
9752;Vas;Kenéz
3955;Borsod-Abaúj-Zemplén;Kenézlő
5083;Jász-Nagykun-Szolnok;Kengyel
9514;Vas;Kenyeri
9945;Vas;Kercaszomor
7256;Somogy;Kercseliget
3396;Heves;Kerecsend
8745;Zala;Kerecseny
6041;Bács-Kiskun;Kerekegyháza
8618;Somogy;Kereki
2882;Komárom-Esztergom;Kerékteleki
2144;Pest;Kerepes
2145;Pest;Kerepes
3821;Borsod-Abaúj-Zemplén;Keresztéte
8971;Zala;Kerkabarabás
8973;Zala;Kerkafalva
8973;Zala;Kerkakutas
9944;Vas;Kerkáskápolna
8874;Zala;Kerkaszentkirály
8879;Zala;Kerkateskánd
4912;Szabolcs-Szatmár-Bereg;Kérsemjén
8492;Veszprém;Kerta
5526;Békés;Kertészsziget
2616;Nógrád;Keszeg
3579;Borsod-Abaúj-Zemplén;Kesznyéten
7062;Tolna;Keszőhidegkút
8360;Zala;Keszthely
2517;Komárom-Esztergom;Kesztölc
7668;Baranya;Keszü
2655;Nógrád;Kétbodony
5741;Békés;Kétegyháza
8713;Somogy;Kéthely
5411;Jász-Nagykun-Szolnok;Kétpó
5674;Békés;Kétsoprony
7975;Baranya;Kétújfalu
9982;Vas;Kétvölgy
7174;Tolna;Kéty
5744;Békés;Kevermes
8774;Zala;Kilimán
9181;Győr-Moson-Sopron;Kimle
8044;Fejér;Kincsesbánya
3657;Borsod-Abaúj-Zemplén;Királd
7953;Baranya;Királyegyháza
6911;Csongrád;Királyhegyes
8195;Veszprém;Királyszentistván
8284;Veszprém;Kisapáti
2428;Fejér;Kisapostag
4921;Szabolcs-Szatmár-Bereg;Kisar
7523;Somogy;Kisasszond
7954;Baranya;Kisasszonyfa
9133;Győr-Moson-Sopron;Kisbabot
3046;Nógrád;Kisbágyon
9062;Győr-Moson-Sopron;Kisbajcs
7542;Somogy;Kisbajom
7282;Somogy;Kisbárapáti
3075;Nógrád;Kisbárkány
2870;Komárom-Esztergom;Kisbér
2879;Komárom-Esztergom;Kisbér
8693;Somogy;Kisberény
8477;Veszprém;Kisberzseny
7391;Baranya;Kisbeszterce
9234;Győr-Moson-Sopron;Kisbodak
8925;Zala;Kisbucsa
7756;Baranya;Kisbudmér
3578;Borsod-Abaúj-Zemplén;Kiscsécs
8888;Zala;Kiscsehi
8494;Veszprém;Kiscsősz
7814;Baranya;Kisdér
7985;Baranya;Kisdobsza
5837;Békés;Kisdombegyház
7159;Tolna;Kisdorog
2655;Nógrád;Kisecset
9341;Győr-Moson-Sopron;Kisfalud
3256;Heves;Kisfüzes
8356;Zala;Kisgörbő
7279;Somogy;Kisgyalán
3556;Borsod-Abaúj-Zemplén;Kisgyőr
7391;Baranya;Kishajmás
7800;Baranya;Kisharsány
3161;Nógrád;Kishartyán
7763;Baranya;Kisherend
4977;Szabolcs-Szatmár-Bereg;Kishódos
3994;Borsod-Abaúj-Zemplén;Kishuta
2948;Komárom-Esztergom;Kisigmánd
7773;Baranya;Kisjakabfalva
7766;Baranya;Kiskassa
3843;Borsod-Abaúj-Zemplén;Kiskinizs
3384;Heves;Kisköre
6200;Bács-Kiskun;Kiskőrös
7524;Somogy;Kiskorpád
6100;Bács-Kiskun;Kiskunfélegyháza
6400;Bács-Kiskun;Kiskunhalas
2340;Pest;Kiskunlacháza
6120;Bács-Kiskun;Kiskunmajsa
8911;Zala;Kiskutas
8156;Fejér;Kisláng
4325;Szabolcs-Szatmár-Bereg;Kisléta
7775;Baranya;Kislippó
8446;Veszprém;Kislőd
7356;Tolna;Kismányok
4126;Hajdú-Bihar;Kismarja
2623;Pest;Kismaros
4737;Szabolcs-Szatmár-Bereg;Kisnamény
3264;Heves;Kisnána
2165;Pest;Kisnémedi
7759;Baranya;Kisnyárád
2024;Pest;Kisoroszi
4956;Szabolcs-Szatmár-Bereg;Kispalád
8912;Zala;Kispáli
8496;Veszprém;Kispirit
9936;Vas;Kisrákos
8756;Zala;Kisrécse
3965;Borsod-Abaúj-Zemplén;Kisrozvágy
3627;Borsod-Abaúj-Zemplén;Kissikátor
9555;Vas;Kissomlyó
6421;Bács-Kiskun;Kisszállás
7082;Tolna;Kisszékely
4963;Szabolcs-Szatmár-Bereg;Kisszekeres
7841;Baranya;Kisszentmárton
8957;Zala;Kissziget
8483;Veszprém;Kisszőlős
7981;Baranya;Kistamási
7823;Baranya;Kistapolca
2143;Pest;Kistarcsa
6760;Csongrád;Kistelek
3553;Borsod-Abaúj-Zemplén;Kistokaj
8868;Zala;Kistolmács
7068;Tolna;Kistormás
7768;Baranya;Kistótfalu
5310;Jász-Nagykun-Szolnok;Kisújszállás
9772;Vas;Kisunyom
4600;Szabolcs-Szatmár-Bereg;Kisvárda
4811;Szabolcs-Szatmár-Bereg;Kisvarsány
8341;Zala;Kisvásárhely
7381;Baranya;Kisvaszar
7183;Tolna;Kisvejke
6775;Csongrád;Kiszombor
9733;Vas;Kiszsidány
6773;Csongrád;Klárafalva
7334;Baranya;Köblény
2898;Komárom-Esztergom;Kocs
2755;Pest;Kocsér
9553;Vas;Köcsk
7212;Tolna;Kocsola
4751;Szabolcs-Szatmár-Bereg;Kocsord
2243;Pest;Kóka
4284;Hajdú-Bihar;Kokad
7668;Baranya;Kökény
7530;Somogy;Kőkút
4965;Szabolcs-Szatmár-Bereg;Kölcse
7052;Tolna;Kölesd
7717;Baranya;Kölked
8468;Veszprém;Kolontár
4138;Hajdú-Bihar;Komádi
2900;Komárom-Esztergom;Komárom
2903;Komárom-Esztergom;Komárom
2921;Komárom-Esztergom;Komárom
3765;Borsod-Abaúj-Zemplén;Komjáti
7300;Baranya;Komló
7305;Baranya;Komló
3372;Heves;Kömlő
2853;Komárom-Esztergom;Kömlőd
4765;Szabolcs-Szatmár-Bereg;Komlódtótfalu
7582;Somogy;Komlósd
3937;Borsod-Abaúj-Zemplén;Komlóska
4622;Szabolcs-Szatmár-Bereg;Komoró
4943;Szabolcs-Szatmár-Bereg;Kömörő
6134;Bács-Kiskun;Kömpöc
3356;Heves;Kompolt
3775;Borsod-Abaúj-Zemplén;Kondó
9943;Vas;Kondorfa
5553;Békés;Kondoros
9144;Győr-Moson-Sopron;Kóny
4133;Hajdú-Bihar;Konyár
9495;Győr-Moson-Sopron;Kópháza
7094;Tolna;Koppányszántó
3886;Borsod-Abaúj-Zemplén;Korlát
9900;Vas;Körmend
9909;Vas;Körmend
2851;Komárom-Esztergom;Környe
3577;Borsod-Abaúj-Zemplén;Köröm
9113;Győr-Moson-Sopron;Koroncó
7841;Baranya;Kórós
8617;Somogy;Kőröshegy
5516;Békés;Körösladány
5539;Békés;Körösnagyharsány
4136;Hajdú-Bihar;Körösszakál
4135;Hajdú-Bihar;Körösszegapáti
5622;Békés;Köröstarcsa
2745;Pest;Kőröstetétlen
5536;Békés;Körösújfalu
2612;Pest;Kosd
2625;Pest;Kóspallag
8152;Fejér;Kőszárhegy
9730;Vas;Kőszeg
9725;Vas;Kőszegdoroszló
9739;Vas;Kőszegpaty
9725;Vas;Kőszegszerdahely
4482;Szabolcs-Szatmár-Bereg;Kótaj
8627;Somogy;Kötcse
5725;Békés;Kötegyán
5062;Jász-Nagykun-Szolnok;Kőtelek
7847;Baranya;Kovácshida
7678;Baranya;Kovácsszénája
3992;Borsod-Abaúj-Zemplén;Kovácsvágás
8254;Veszprém;Kővágóörs
7673;Baranya;Kővágószőlős
7675;Baranya;Kővágótőttős
6912;Csongrád;Kövegy
8274;Veszprém;Köveskál
3053;Nógrád;Kozárd
7761;Baranya;Kozármisleny
8988;Zala;Kozmadombja
3821;Borsod-Abaúj-Zemplén;Krasznokvajda
6755;Csongrád;Kübekháza
2458;Fejér;Kulcs
8978;Zala;Külsősárd
9532;Veszprém;Külsővat
6097;Bács-Kiskun;Kunadacs
5746;Békés;Kunágota
6435;Bács-Kiskun;Kunbaja
6043;Bács-Kiskun;Kunbaracs
5412;Jász-Nagykun-Szolnok;Kuncsorba
6413;Bács-Kiskun;Kunfehértó
8162;Veszprém;Küngös
5340;Jász-Nagykun-Szolnok;Kunhegyes
5321;Jász-Nagykun-Szolnok;Kunmadaras
6096;Bács-Kiskun;Kunpeszér
6115;Bács-Kiskun;Kunszállás
5440;Jász-Nagykun-Szolnok;Kunszentmárton
5449;Jász-Nagykun-Szolnok;Kunszentmárton
